,day_of_year,snow_prediction,high_temperature,low_temperature,precipitation_prediction
347,2025-12-14,0,127.23766613006592,127.23766613006592,-89.58704544067382
348,2025-12-15,0,127.23766613006592,127.23766613006592,-89.58704544067382
349,2025-12-16,0,127.23766613006592,127.23766613006592,-89.58704544067382
350,2025-12-17,0,127.23766613006592,127.23766613006592,-89.58704544067382
351,2025-12-18,0,127.23766613006592,127.23766613006592,-89.58704544067382
352,2025-12-19,0,127.23766613006592,127.23766613006592,-89.58704544067382
353,2025-12-20,0,127.23766613006592,127.23766613006592,-89.58704544067382
354,2025-12-21,0,127.23766613006592,127.23766613006592,-89.58704544067382
355,2025-12-22,0,127.23766613006592,127.23766613006592,-89.58704544067382
356,2025-12-23,0,127.23766613006592,127.23766613006592,-89.58704544067382
357,2025-12-24,0,127.23766613006592,127.23766613006592,-89.58704544067382
358,2025-12-25,0,127.23766613006592,127.23766613006592,-89.58704544067382
359,2025-12-26,0,127.23766613006592,127.23766613006592,-89.58704544067382
360,2025-12-27,0,127.23766613006592,127.23766613006592,-89.58704544067382
361,2025-12-28,0,127.23766613006592,127.23766613006592,-89.58704544067382
362,2025-12-29,0,127.23766613006592,127.23766613006592,-89.58704544067382
363,2025-12-30,0,127.23766613006592,127.23766613006592,-89.58704544067382
364,2025-12-31,0,127.23766613006592,127.23766613006592,-89.58704544067382
